,Compound,Negative,Neutral,Positive,Tweet Date,Tweet Text,Tweets Ago,User
0,0.0,0.0,1.0,0.0,Mon Jul 30 18:04:22 +0000 2018,RT @iwitteronandon: @Lozzerdude @TheStephenRalph @Femi_Sorry @LowTaxChloe @BBCNews @BBC @the_tpa The new remain strategy was immediately ob…,1,@BBC
1,0.0,0.0,1.0,0.0,Mon Jul 30 18:04:19 +0000 2018,@BBC #nomorebbcpropaganda,2,@BBC
2,0.0,0.0,1.0,0.0,Mon Jul 30 18:04:11 +0000 2018,"RT @mikegalsworthy: The @BBC seems to have developed a cosy chum network of rightwing think-tanks... Tax Payers’ Alliance, IEA, Adam Smith…",3,@BBC
3,0.0,0.0,1.0,0.0,Mon Jul 30 18:04:08 +0000 2018,"RT @mikegalsworthy: The @BBC seems to have developed a cosy chum network of rightwing think-tanks... Tax Payers’ Alliance, IEA, Adam Smith…",4,@BBC
4,-0.0772,0.071,0.929,0.0,Mon Jul 30 18:03:51 +0000 2018,@ChloeBirdVW @malpawzielonym @BBC Option imposed on me (trousers) along with specific upbringing was not in line wi… https://t.co/6uxuObXRKh,5,@BBC
5,0.0,0.0,1.0,0.0,Mon Jul 30 18:03:50 +0000 2018,RT @campbellclaret: A headline you will never see on the @bbc until it refinds its bottle and purpose https://t.co/czqeuabJKC,6,@BBC
6,0.0,0.0,1.0,0.0,Mon Jul 30 18:03:34 +0000 2018,RT @campbellclaret: A headline you will never see on the @bbc until it refinds its bottle and purpose https://t.co/czqeuabJKC,7,@BBC
7,-0.296,0.155,0.845,0.0,Mon Jul 30 18:03:33 +0000 2018,"RT @GoingPostalBlog: No, Prime Minister, by @BillQuango - https://t.co/BzincSjO0w 
@Conservatives #Elections #EuropeanUnion #Literature #Po…",8,@BBC
8,0.0,0.0,1.0,0.0,Mon Jul 30 18:03:04 +0000 2018,@21WIRE @BBC @navalny Indeed. The aim is to probe Russian society and to understand the current boundaries of socia… https://t.co/GgsBBC7M1h,9,@BBC
9,0.4767,0.0,0.881,0.119,Mon Jul 30 18:02:57 +0000 2018,"RT @BBC: ❤️ The reaction when this little girl showed her school friends her new sports blade gives us all the feels. 
#InternationalFriend…",10,@BBC
10,0.4767,0.0,0.881,0.119,Mon Jul 30 18:02:55 +0000 2018,"RT @BBC: ❤️ The reaction when this little girl showed her school friends her new sports blade gives us all the feels. 
#InternationalFriend…",11,@BBC
11,0.7818,0.0,0.422,0.578,Mon Jul 30 18:02:50 +0000 2018,@BBC @ThriveApproach Very precious moment 😌,12,@BBC
12,0.0,0.0,1.0,0.0,Mon Jul 30 18:02:49 +0000 2018,@campbellclaret @BBC I think it's more a case of Britain turning against May and her Cabinet of clowns.,13,@BBC
13,0.0,0.0,1.0,0.0,Mon Jul 30 18:02:48 +0000 2018,@bbc,14,@BBC
14,0.0,0.0,1.0,0.0,Mon Jul 30 18:02:34 +0000 2018,"RT @mikegalsworthy: The @BBC seems to have developed a cosy chum network of rightwing think-tanks... Tax Payers’ Alliance, IEA, Adam Smith…",15,@BBC
15,0.0,0.0,1.0,0.0,Mon Jul 30 18:02:31 +0000 2018,RT @BBC: What makes you resilient? https://t.co/cZS96s7bv0,16,@BBC
16,0.0,0.0,1.0,0.0,Mon Jul 30 18:02:26 +0000 2018,"RT @RamjiVe02121148: シャイニングマンデー 
#FelizLunes  
#धरतीकोस्वर्गबनानाहै  
अब हम अपने बच्चों को सत्संग में भेजेंगे जिससे वह गलत व्यवहार को बदल…",17,@BBC
17,0.0,0.0,1.0,0.0,Mon Jul 30 18:02:22 +0000 2018,@bbc,18,@BBC
18,0.0,0.0,1.0,0.0,Mon Jul 30 18:02:22 +0000 2018,RT @PWoodfall: @GoldenOldieC @Skylark4freedom @beforethestars @Just2BiZI @whereangelsdare @ChivalryAnon @TracyTlm45 @Fredthefish2 @javaidSh…,19,@BBC
19,0.0,0.0,1.0,0.0,Mon Jul 30 18:02:15 +0000 2018,"RT @mikegalsworthy: The @BBC seems to have developed a cosy chum network of rightwing think-tanks... Tax Payers’ Alliance, IEA, Adam Smith…",20,@BBC
20,0.5719,0.0,0.837,0.163,Mon Jul 30 18:02:04 +0000 2018,"RT @solange_lebourg: By a BBC journalist: an excellent summary of the issues with @BBC's inaccurate and unbalanced reporting of brexit.

 h…",21,@BBC
21,0.0,0.0,1.0,0.0,Mon Jul 30 18:02:00 +0000 2018,RT @campbellclaret: A headline you will never see on the @bbc until it refinds its bottle and purpose https://t.co/czqeuabJKC,22,@BBC
22,0.0,0.0,1.0,0.0,Mon Jul 30 18:01:59 +0000 2018,RT @PWoodfall: @GoldenOldieC @Skylark4freedom @beforethestars @Just2BiZI @whereangelsdare @ChivalryAnon @TracyTlm45 @Fredthefish2 @javaidSh…,23,@BBC
23,0.0,0.0,1.0,0.0,Mon Jul 30 18:01:55 +0000 2018,RT @wally3032: @penfold29 @BBC I gender-stereotyped my children. I bought my boys up dressed in boys clothes and my daughter dressed in gir…,24,@BBC
24,0.2732,0.0,0.884,0.116,Mon Jul 30 18:01:54 +0000 2018,@campbellclaret @BBC BBC just needs to revisit - and get back to - its agreed Charter Principles. Whyever not.,25,@BBC
25,0.3182,0.0,0.813,0.187,Mon Jul 30 18:01:49 +0000 2018,"RT @BBC: Are you sure you don’t gender-stereotype children?
#NoMoreBoysAndGirls https://t.co/iThZ2P6REW",26,@BBC
26,0.8442,0.096,0.498,0.406,Mon Jul 30 18:01:42 +0000 2018,@BBC I definitely gender-stereotyped my children. 100% And they are perfectly happy and crushing through life. Good… https://t.co/AVelYDbuCt,27,@BBC
27,0.0,0.0,1.0,0.0,Mon Jul 30 18:01:41 +0000 2018,RT @TheStephenRalph: @Femi_Sorry @LowTaxChloe Imagine being given numerous appearances on @BBCNews and other @BBC current affairs programne…,28,@BBC
28,0.0,0.0,1.0,0.0,Mon Jul 30 18:01:37 +0000 2018,RT @campbellclaret: A headline you will never see on the @bbc until it refinds its bottle and purpose https://t.co/czqeuabJKC,29,@BBC
29,0.0258,0.094,0.809,0.098,Mon Jul 30 18:01:35 +0000 2018,"This in no way proves gender is a social construct, there is biology RT @BBC: Are you sure you don’t gender-stereot… https://t.co/BbAVEIG4yM",30,@BBC
30,0.5719,0.0,0.837,0.163,Mon Jul 30 18:01:13 +0000 2018,"RT @solange_lebourg: By a BBC journalist: an excellent summary of the issues with @BBC's inaccurate and unbalanced reporting of brexit.

 h…",31,@BBC
31,0.0,0.0,1.0,0.0,Mon Jul 30 18:01:12 +0000 2018,"#VoveranBan 
#फौजी_का_अपमान
सभी लोग अवश्य देखिये हरियाणा की #खूनी_सरकार का असली चेहरा 
👇👇 
@BBC
@rashtrapatibhvn… https://t.co/f9z2OCXbeH",32,@BBC
32,0.0,0.0,1.0,0.0,Mon Jul 30 18:01:09 +0000 2018,RT @TheStephenRalph: @Femi_Sorry @LowTaxChloe Imagine being given numerous appearances on @BBCNews and other @BBC current affairs programne…,33,@BBC
33,-0.296,0.18,0.82,0.0,Mon Jul 30 18:01:08 +0000 2018,"No, Prime Minister, by @BillQuango - https://t.co/BzincSjO0w 
@Conservatives #Elections #EuropeanUnion #Literature… https://t.co/hh1pcAomRG",34,@BBC
34,0.0,0.0,1.0,0.0,Mon Jul 30 18:01:07 +0000 2018,"RT @mikegalsworthy: The @BBC seems to have developed a cosy chum network of rightwing think-tanks... Tax Payers’ Alliance, IEA, Adam Smith…",35,@BBC
35,0.0,0.0,1.0,0.0,Mon Jul 30 18:01:07 +0000 2018,RT @BBC: What makes you resilient? https://t.co/cZS96s7bv0,36,@BBC
36,0.0,0.0,1.0,0.0,Mon Jul 30 18:00:50 +0000 2018,RT @campbellclaret: A headline you will never see on the @bbc until it refinds its bottle and purpose https://t.co/czqeuabJKC,37,@BBC
37,0.1027,0.085,0.814,0.101,Mon Jul 30 18:00:48 +0000 2018,"RT @jjs999jjs: Dear @BBC  due to the censorship of
@WingsScotland
@moridura 
I will not be paying your TV licence fee anymore
I refuse to p…",38,@BBC
38,0.0,0.0,1.0,0.0,Mon Jul 30 18:00:44 +0000 2018,@BBC calling a boy a boy is not gender stereotyping. its stating a fact.,39,@BBC
39,0.3612,0.0,0.865,0.135,Mon Jul 30 18:00:37 +0000 2018,@Outside_Margina @solange_lebourg @BBC @Twitter @w3c Thank you for that. Didn't really think there was anything muc… https://t.co/geiK78BlDS,40,@BBC
40,0.0,0.0,1.0,0.0,Mon Jul 30 18:00:32 +0000 2018,"@lumi_1984 @JessicaHol .@BBC if that is so we're are they equivalent action and closure of pro-unionist channels.
O… https://t.co/UMbO67TEhZ",41,@BBC
41,0.0,0.0,1.0,0.0,Mon Jul 30 18:00:27 +0000 2018,RT @WingsScotland: @broadcastscot @politicaIicious @SiobhanSynnot @GASPurves @RowanB_rb @BBCScotland @moridura @YouTube @BBC @AlynSmith It…,42,@BBC
42,-0.438,0.116,0.884,0.0,Mon Jul 30 18:00:16 +0000 2018,"RT @Big_Wookiee: Its perhaps taken too long on my part after 2014, but I cannot support what has happened to @WingsScotland and have finall…",43,@BBC
43,0.1278,0.131,0.722,0.147,Mon Jul 30 17:59:49 +0000 2018,"@BBC When I left for work this morning you were babbling on about Love Island. I get in from work, and guess what? It's quite pathetic!",44,@BBC
44,0.0,0.0,1.0,0.0,Mon Jul 30 17:59:47 +0000 2018,"RT @mikegalsworthy: The @BBC seems to have developed a cosy chum network of rightwing think-tanks... Tax Payers’ Alliance, IEA, Adam Smith…",45,@BBC
45,-0.4215,0.177,0.823,0.0,Mon Jul 30 17:59:47 +0000 2018,@BBC And the public is paying for the BBC to waste money  on this,46,@BBC
46,0.128,0.096,0.786,0.118,Mon Jul 30 17:59:39 +0000 2018,"RT @ScotWedPhotos: I refuse to fund Fascism, I would be breaking the law to support any broadcast organisation which is politically motivat…",47,@BBC
47,0.0,0.0,1.0,0.0,Mon Jul 30 17:59:36 +0000 2018,"RT @mikegalsworthy: The @BBC seems to have developed a cosy chum network of rightwing think-tanks... Tax Payers’ Alliance, IEA, Adam Smith…",48,@BBC
48,0.0,0.0,1.0,0.0,Mon Jul 30 17:59:18 +0000 2018,RT @TheStephenRalph: @Femi_Sorry @LowTaxChloe Imagine being given numerous appearances on @BBCNews and other @BBC current affairs programne…,49,@BBC
49,0.0,0.0,1.0,0.0,Mon Jul 30 17:59:14 +0000 2018,RT @wally3032: @penfold29 @BBC I gender-stereotyped my children. I bought my boys up dressed in boys clothes and my daughter dressed in gir…,50,@BBC
50,0.4767,0.0,0.881,0.119,Mon Jul 30 17:59:14 +0000 2018,"RT @BBC: ❤️ The reaction when this little girl showed her school friends her new sports blade gives us all the feels. 
#InternationalFriend…",51,@BBC
51,-0.7901,0.276,0.724,0.0,Mon Jul 30 17:59:10 +0000 2018,"RT @O_Rich_: The @BBC starts to exploit the “pension reform” topic to say: “Hey, look! Evil Putin blocks State TV from highlighting the peo…",52,@BBC
52,0.0,0.0,1.0,0.0,Mon Jul 30 17:59:04 +0000 2018,@O_Rich_ @BBC @navalny Colour Revolution Technology at work.,53,@BBC
53,-0.2878,0.153,0.847,0.0,Mon Jul 30 17:58:59 +0000 2018,@campbellclaret @BBC A survey of 1466 isn't Britain. There's more pages in a dodgy dossier.,54,@BBC
54,0.0,0.0,1.0,0.0,Mon Jul 30 17:58:56 +0000 2018,@PaulbernalUK @BBCNews Ditch the licensee @bbc watch @Channel4News they have proper journalists,55,@BBC
55,0.1027,0.085,0.814,0.101,Mon Jul 30 17:58:51 +0000 2018,"RT @jjs999jjs: Dear @BBC  due to the censorship of
@WingsScotland
@moridura 
I will not be paying your TV licence fee anymore
I refuse to p…",56,@BBC
56,0.0,0.0,1.0,0.0,Mon Jul 30 17:58:48 +0000 2018,RT @campbellclaret: A headline you will never see on the @bbc until it refinds its bottle and purpose https://t.co/czqeuabJKC,57,@BBC
57,0.0,0.0,1.0,0.0,Mon Jul 30 17:58:42 +0000 2018,"RT @mikegalsworthy: The @BBC seems to have developed a cosy chum network of rightwing think-tanks... Tax Payers’ Alliance, IEA, Adam Smith…",58,@BBC
58,-0.9468,0.439,0.561,0.0,Mon Jul 30 17:58:37 +0000 2018,RT @Ashii__Ak: @BBC No one is buying your sick disgusting BS. This is child abuse. You're using children for your own sick goals. You are p…,59,@BBC
59,0.4767,0.0,0.881,0.119,Mon Jul 30 17:58:24 +0000 2018,"RT @BBC: ❤️ The reaction when this little girl showed her school friends her new sports blade gives us all the feels. 
#InternationalFriend…",60,@BBC
60,0.4767,0.0,0.881,0.119,Mon Jul 30 17:58:06 +0000 2018,"RT @BBC: ❤️ The reaction when this little girl showed her school friends her new sports blade gives us all the feels. 
#InternationalFriend…",61,@BBC
61,0.0,0.0,1.0,0.0,Mon Jul 30 17:57:58 +0000 2018,@carluke21 @roseannestuart @KayWats_4Yes @BBC @WingsScotland @moridura My understanding is that's it's been quite a… https://t.co/FbdB9w5JhF,62,@BBC
62,0.296,0.0,0.879,0.121,Mon Jul 30 17:57:57 +0000 2018,@campbellclaret @BBC One of the champagne bottles strewn around Broadcasting House the morning after your creature… https://t.co/QCA0zc5PcD,63,@BBC
63,0.0,0.0,1.0,0.0,Mon Jul 30 17:57:52 +0000 2018,"RT @BBC: Why Americans will be able to 3D print their own guns from August.

https://t.co/8NR7qFaEZY",64,@BBC
64,0.2732,0.0,0.92,0.08,Mon Jul 30 17:57:49 +0000 2018,"RT @SbBarclay: Well look at this @BBC @BBCNews  @BBCScotland , found this on the Scottish Tory YouTube channel. Is it one rule for us and o…",65,@BBC
65,0.0,0.0,1.0,0.0,Mon Jul 30 17:57:43 +0000 2018,@CaringLawyer @campbellclaret @BBC @SkyNews @Channel4News @guardian @Independent The BBC is what?!!!!,66,@BBC
66,0.0,0.0,1.0,0.0,Mon Jul 30 17:57:38 +0000 2018,RT @campbellclaret: A headline you will never see on the @bbc until it refinds its bottle and purpose https://t.co/czqeuabJKC,67,@BBC
67,0.0,0.0,1.0,0.0,Mon Jul 30 17:57:32 +0000 2018,RT @campbellclaret: A headline you will never see on the @bbc until it refinds its bottle and purpose https://t.co/czqeuabJKC,68,@BBC
68,0.0,0.0,1.0,0.0,Mon Jul 30 17:57:31 +0000 2018,RT @TheStephenRalph: @Femi_Sorry @LowTaxChloe Imagine being given numerous appearances on @BBCNews and other @BBC current affairs programne…,69,@BBC
69,0.4019,0.0,0.769,0.231,Mon Jul 30 17:57:21 +0000 2018,Interesting selection here of @bbc #LGBTQ programming since 1955. https://t.co/rB3HtdKbTe,70,@BBC
70,0.0,0.0,1.0,0.0,Mon Jul 30 17:57:19 +0000 2018,"RT @OliHutch: @JohnDalton6011 @campbellclaret If you need to get hold of the @BBC, presumably they can also be contacted at this address",71,@BBC
71,-0.6249,0.195,0.805,0.0,Mon Jul 30 17:57:15 +0000 2018,"RT @haaxci: This @BBC article is still carrying the ridiculous, debunked, Israeli claim Ahed Tamimi's cousin lied about being shot in the h…",72,@BBC
72,-0.8635,0.44,0.56,0.0,Mon Jul 30 17:57:14 +0000 2018,"@BBC What the hell did i just watch??? 

😯😯😯

The world has gone mad!",73,@BBC
73,0.5974,0.069,0.722,0.209,Mon Jul 30 17:57:13 +0000 2018,RT @FreeThinker2030: How can the BBC treat its Scottish Licence Payers with so little respect? Time we stopped paying their TV Tax #BinTheT…,74,@BBC
74,0.0,0.0,1.0,0.0,Mon Jul 30 17:57:10 +0000 2018,"RT @mikegalsworthy: The @BBC seems to have developed a cosy chum network of rightwing think-tanks... Tax Payers’ Alliance, IEA, Adam Smith…",75,@BBC
75,0.4767,0.0,0.881,0.119,Mon Jul 30 17:57:03 +0000 2018,"RT @BBC: ❤️ The reaction when this little girl showed her school friends her new sports blade gives us all the feels. 
#InternationalFriend…",76,@BBC
76,-0.6369,0.512,0.488,0.0,Mon Jul 30 17:56:59 +0000 2018,@prwhittle @UKIP @BBC Child abuse,77,@BBC
